question,answer,category,keywords,link,updated_at
숙소 사용료와 납부 방법은 어떻게 되나요?,"전기(3/9-9/6, 26주) 2인 1실 사용료는 968,400원입니다. 후기(9/7-12/11, 14주)는 작년 기준 521,600원입니다. 납부 기간은 3/7(토)-3/8(일) 이틀간만 가능하며 기간 외 납부는 불가합니다. 계좌는 추후 안내되며 반드시 본인 명의로 입금해야 합니다.",행정,"기숙사비,사용료,숙소비용,생활관비,납부,입금,계좌,전기,후기,기숙사비얼마",https://www.postech.ac.kr/kor/college-life/dormitory.do,2026-02-24
룸메이트가 중도 퇴소하면 어떻게 되나요?,"전·후기 시작 1개월 이내 룸메이트 퇴소 시 포스텍 학생이 배정되거나 1인실로 전환될 수 있습니다. 1인실 전환 시 1인실 요금을 납부해야 합니다. 전기 1인실 1,625,000원/26주, 후기 875,000원/14주입니다.",행정,"룸메퇴소,1인실전환,1인실요금,중도퇴소,기숙사혼자",https://www.postech.ac.kr/kor/college-life/dormitory.do,2026-02-24
숙소 제공 옵션은 무엇인가요?,"2인 1실이며 층별 공용 화장실·샤워실을 사용합니다. 제공 물품은 침대, 옷장, 책상, 에어컨입니다. 조리도구와 침구류는 제공되지 않습니다.",시설,"제공물품,기숙사옵션,가구,침대,옷장,책상,에어컨,이불제공,조리도구",https://www.postech.ac.kr/kor/college-life/dormitory.do,2026-02-24
룸메이트는 어떻게 배정되나요?,기본적으로 같은 시간대 세션의 러너가 랜덤 배정됩니다. 상황에 따라 다른 시간대 러너 또는 포스텍 학생이 배정될 수 있습니다. 호실 및 룸메이트 선택은 불가합니다.,생활,"룸메이트,룸메,같이사는사람,랜덤배정,호실선택,기숙사같이,동기배정",https://www.postech.ac.kr/kor/college-life/dormitory.do,2026-02-24
입사 전에 택배를 보내도 되나요?,배정받은 동·호실 주소로 발송은 가능하지만 1층에 보관되며 호실 문 앞까지 배송되지 않습니다. 입사 전 도착한 택배 분실 시 책임은 본인에게 있습니다.,생활,"택배,입사전택배,기숙사택배,배송,분실,1층보관",https://www.postech.ac.kr/kor/college-life/dormitory.do,2026-02-24
입사 절차는 어떻게 되나요?,"결핵 검사 결과서를 3/3(화) 14시-3/4(수) 14시 사이 제출해야 합니다. 입사일 기준 6개월 이내 흉부 X-ray 결과만 인정됩니다. 본인 성명과 생년월일이 포함되어야 하며, PDF로 제출해야 합니다. 유효하지 않을 경우 입사가 불가합니다.",행정,"결핵검사,X-ray,흉부촬영,입사서류,건강검진,PDF제출,기숙사서류",https://www.postech.ac.kr/kor/college-life/dormitory.do,2026-02-24
무단 외부인 출입이나 투숙 시 어떻게 되나요?,사전 승인 없이 외부인을 출입·투숙시키는 경우 최대 50점 벌점이 부과됩니다. 무단 투숙자는 기본 사용료의 최대 30배가 부과될 수 있습니다.,생활수칙,"외부인,무단투숙,친구재워도돼,방문자,게스트,몰래재움",https://www.postech.ac.kr/kor/college-life/dormitory.do,2026-02-24
입사일은 언제인가요? 변경 가능한가요?,입사일은 2025년 3월 7일(토)-3월 8일(일) 오후 1시-5시입니다. 생활관 운영팀 규정에 따라 입사일 변경은 불가합니다.,행정,"입사일,체크인,입소날짜,기숙사입주,시간변경",https://www.postech.ac.kr/kor/college-life/dormitory.do,2026-02-24
숙소 이용 시 지켜야 할 주요 규칙은 무엇인가요?,"포스텍 생활관 사생수칙을 반드시 준수해야 합니다. 시설 훼손 시 변상, 생활관 내 금연, 인화물질 반입 금지, 고성·소음 행위 금지, 무단 호실 출입 금지 등이 포함됩니다. 규정 위반 시 벌점 및 퇴사 조치가 가능합니다.",생활수칙,"사생수칙,벌점,퇴사,금연,소음,시설파손,무단출입,기숙사규정",https://www.postech.ac.kr/kor/college-life/dormitory.do,2026-02-24
기숙사에서 흡연하면 어떻게 되나요?,"건물 내(옥상, 계단, 베란다 포함) 흡연은 금지이며 최대 70점 벌점이 부과될 수 있습니다. 누적 70점 이상 시 즉시 영구퇴사 조치가 가능합니다.",생활수칙,"흡연,담배,전자담배,옥상흡연,베란다흡연,기숙사금연,벌점",https://www.postech.ac.kr/kor/college-life/dormitory.do,2026-02-24
관리비와 보증금이 있나요?,숙소 사용료에 관리비가 포함되어 있으며 보증금은 없습니다. 다만 퇴소 시 점검 및 의무사항을 이행하지 않거나 시설 피해가 있을 경우 불이익이 있을 수 있습니다.,행정,"관리비,보증금,추가비용,기숙사보증금,별도비용",https://www.postech.ac.kr/kor/college-life/dormitory.do,2026-02-24
통금시간이 있나요?,통금시간은 없습니다.,생활,"통금,귀가시간,야간출입,기숙사통금",https://www.postech.ac.kr/kor/college-life/dormitory.do,2026-02-24
사용료를 납부하지 않으면 어떻게 되나요?,"사용료 미납 시 경고, 출입통제, 추가 벌점 및 한 학기 퇴사 조치가 이루어질 수 있습니다. 반복 미납 시 추가 징계가 적용됩니다.",행정,"사용료미납,기숙사비미납,출입통제,벌점,퇴사조치",https://www.postech.ac.kr/kor/college-life/dormitory.do,2026-02-24
호실 변경이나 환불이 가능한가요?,배정된 숙소는 호실 변경 및 환불이 불가합니다. 생활 방식 차이로 인한 불편함은 변경·환불 사유가 아닙니다. 중도 퇴소 시 사용료 환불도 불가합니다.,행정,"방변경,호실변경,환불,기숙사환불,중도퇴사,룸메불화",https://www.postech.ac.kr/kor/college-life/dormitory.do,2026-02-24
외부인 출입이 가능한가요?,외부인 출입은 일절 불가합니다. 가족 및 외부 숙소 거주 러너도 포함됩니다. 입·퇴사일에도 동일하게 적용되며 건물 앞까지 동행만 가능합니다.,생활수칙,"외부인,방문,출입제한,가족출입,기숙사방문",https://dorm-info.local/,2026-02-24
비상 상황 시 어디로 연락하나요?,"생활관 사감실 054-279-3701(24시간), 종합상황실 054-279-2222, 시설운영팀 054-279-0117으로 연락하세요.",행정,"비상연락처,사감실,화재신고,도난신고,긴급전화",https://www.postech.ac.kr/kor/college-life/dormitory.do,2026-02-24
룸메이트 없이 혼자 쓰면 안 되나요?,무단 거주 또는 무단 침실 변경은 70점 벌점 대상입니다. 반드시 생활관운영팀의 사전 승인을 받아야 합니다.,생활수칙,"혼자사용,무단거주,빈자리혼자,침실변경,기숙사혼자씀",https://www.postech.ac.kr/kor/college-life/dormitory.do,2026-02-24
70점 이상이면 어떻게 되나요?,"70점 이상 누적 시 즉시 영구퇴사, 지도교수 통보 및 학생생활위원회 회부가 가능합니다.",행정,"벌점70점,영구퇴사,강제퇴사,기숙사징계",https://www.postech.ac.kr/kor/college-life/dormitory.do,2026-02-24
세탁기는 어떻게 이용하나요?,각 층 세탁실에서 유료 렌탈 세탁기/건조기를 이용합니다. 지정 동에 카드 충전기 및 반환기가 설치되어 있습니다.,시설,"세탁실,세탁카드,건조기,세탁기위치",https://www.postech.ac.kr/kor/college-life/dormitory.do,2026-02-24
기숙사에서 소음 문제로 신고되면 어떻게 되나요?,"다른 사용자에게 피해를 주는 행위(고성, 노래, 게임 등)는 벌점 대상입니다. 누적 벌점에 따라 퇴사 조치가 이루어질 수 있습니다.",생활수칙,"소음,고성방가,게임소리,노래,민원,기숙사시끄러움",https://www.postech.ac.kr/kor/college-life/dormitory.do,2026-02-24
벌점 30점 이상이면 어떻게 되나요?,30점 이상은 교내봉사 및 다음 정규학기 한 학기 퇴사 대상입니다.,행정,"벌점30점,퇴사기준,기숙사징계,한학기퇴사",https://www.postech.ac.kr/kor/college-life/dormitory.do,2026-02-24
에어프라이어 사용해도 되나요?,"에어프라이어, 전기후라이팬, 가스버너 등 취사기기는 사용이 불가합니다. 휴게실에 비치된 공용 전자레인지만 사용 가능합니다.",시설,"에어프라이어,전기후라이팬,가스버너,취사,라면끓여도돼,기숙사취사",https://www.postech.ac.kr/kor/college-life/dormitory.do,2026-02-24
퇴사 절차를 지키지 않으면 어떻게 되나요?,"퇴사 절차를 이행하지 않을 경우 벌점이 부과될 수 있으며, 환불 대상에서 제외될 수 있습니다.",행정,"퇴사신청,POVIS퇴사,무단퇴사,기숙사환불",https://www.postech.ac.kr/kor/college-life/dormitory.do,2026-02-24
벌점은 언제 초기화되나요?,벌점은 부과일로부터 1년간 누적 관리됩니다.,행정,"벌점초기화,누적벌점,기숙사벌점,1년유효",https://www.postech.ac.kr/kor/college-life/dormitory.do,2026-02-24
등기우편은 어디서 받나요?,등기우편 및 특수우편은 본인이 학과 또는 문서수발실을 통해 직접 수령해야 합니다.,생활,"등기우편,우편물,문서수발실,택배수령",https://www.postech.ac.kr/kor/college-life/dormitory.do,2026-02-24
기숙사 주소는 어떻게 되나요?,(우: 37673) 경북 포항시 남구 청암로 77 포항공과대학교 생활관 ○동 ○호 입니다.,행정,"기숙사주소,생활관주소,택배주소,우편주소",https://www.postech.ac.kr/kor/college-life/dormitory.do,2026-02-24
쓰레기는 어디에 버리나요?,"생활쓰레기는 층별 분리배출함에 배출합니다. 소형가전은 18동 뒤편 분리수거장에 무상 배출 가능하며, 대형폐기물은 스티커를 부착해 배출해야 합니다.",생활,"쓰레기,분리수거,대형폐기물,전자제품버리기",https://www.postech.ac.kr/kor/college-life/dormitory.do,2026-02-24
냉장고는 반입 가능한가요?,"냉장고는 1실 1대, 120L 이하 제품만 허용됩니다.",시설,"냉장고,미니냉장고,용량제한,기숙사냉장고",https://www.postech.ac.kr/kor/college-life/dormitory.do,2026-02-24
가습기 사용 가능한가요?,"가습기는 1실 1대, 초음파식만 허용되며 가열식은 불가합니다.",시설,"가습기,초음파가습기,가열식가습기,기숙사가습기",https://www.postech.ac.kr/kor/college-life/dormitory.do,2026-02-24
기숙사에서 전기히터 사용 가능한가요?,"전기히터, 팬히터 등 난방기기는 불허용입니다. 허용되지 않은 전열기기는 반입 및 사용 시 벌점 대상입니다.",시설,"전기히터,난방기,팬히터,온풍기,전열기,기숙사난방",https://www.postech.ac.kr/kor/college-life/dormitory.do,2026-02-24
반려동물 키워도 되나요?,동물 사육(곤충 및 어류 포함)은 금지이며 30점 벌점 대상입니다.,생활수칙,"반려동물,강아지,고양이,물고기,곤충,기숙사애완동물",https://www.postech.ac.kr/kor/college-life/dormitory.do,2026-02-24
전동 킥보드 반입 가능한가요?,전동 킥보드 및 분리형 배터리를 포함한 모든 전기에너지 기반 개인 이동장치는 화재 위험으로 반입이 불가합니다.,시설,"전동킥보드,전동휠,배터리,개인이동장치,PM,기숙사반입",https://www.postech.ac.kr/kor/college-life/dormitory.do,2026-02-24
